"Title:","Arrests by Race from the Arrests Database"
"SubTitle:","USA - Offense*: All Offenses"
"Time:","1980 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#"
"Citation:","Criminal Justice Information Services Division, Federal Bureau of Investigation, Federal Bureau of Investigation (2022-02-17). Arrests: Arrests by Race | All Offenses | White | Black or African American | American Indian or Alaskan Native | Asian/Pacific Islander | Adult | Juvenile, 1980 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  010-002-002 doi:https://doi.org/10.6068/DP1848ADA4A659"
"ColumnCount:",9
"RowCount:",41

"Time","All Offenses, White, Adult, Arrests","All Offenses, White, Juvenile, Arrests","All Offenses, Black or African American, Adult, Arrests","All Offenses, Black or African American, Juvenile, Arrests","All Offenses, American Indian or Alaskan Native, Adult, Arrests","All Offenses, American Indian or Alaskan Native, Juvenile, Arrests","All Offenses, Asian/Pacific Islander, Adult, Arrests","All Offenses, Asian/Pacific Islander, Juvenile, Arrests"
"1980",5735827,1572331,1971842,446046,94285,18132,39918,13662
"1981",6014548,1516759,2127208,495013,90024,16122,43820,14730
"1982",6332930,1423512,2440872,493818,89576,15235,47146,15929
"1983",6402832,1312716,2420271,453854,89252,13891,52518,15284
"1984",6424973,1332069,2433184,447666,95066,14612,50250,16066
"1985",6452613,1406803,2570686,462570,100233,15712,55107,19408
"1986",6627812,1422949,2737965,482322,103263,16700,55511,20682
"1987",6584127,1379742,2897159,490252,113114,17721,58385,22403
"1988",6248331,1282184,2787757,473511,102683,16888,62012,24155
"1989",6812982,1295335,3112900,507265,105722,18350,49352,16463
"1990",7304966,1374218,3151123,517151,111057,19605,71715,26784
"1991",6843289,1363300,2998251,520933,106500,18062,78058,28433
"1992",7193117,1468081,3494106,613016,118553,20649,88236,33644
"1993",6702106,1443762,3297238,622163,114571,22905,80548,35550
"1994",6818301,1596545,3220679,657792,110835,24631,86902,38560
"1995",6799186,1606919,3325224,677480,112123,25900,94218,38968
"1996",6468290,1583379,3070746,616626,120208,26766,95481,40038
"1997",6591079,1579701,3261708,618841,120764,28380,101165,39155
"1998",6446251,1442653,3176949,562133,116474,24431,103547,32158
"1999",6275873,1324948,2989838,504371,116752,23084,92548,30420
"2000",6288171,1289105,2942716,495998,116788,22993,94706,29072
"2001",6284900,1243600,2886441,498396,113527,21331,96485,27015
"2002",6496362,1264907,2701544,484698,122664,23340,100519,28915
"2003",6340734,1222862,2504746,482842,119850,22809,94563,27416
"2004",6572751,1200812,2548153,497117,122015,22188,95432,25515
"2005",6648819,1157458,2615239,525572,125677,22613,95151,23546
"2006",6712082,1171363,2654328,536741,124089,22056,97219,24958
"2007",6762853,1161797,2659518,529382,129526,21804,101233,26425
"2008",6753340,1133120,2692479,530987,133936,20364,103846,26188
"2009",6843653,1035715,2724379,494957,136824,19428,108348,24678
"2010",6599346,939543,2601563,444200,136582,18321,109276,21970
"2011",6307745,828294,2482839,398741,137474,17318,107511,19221
"2012",6217328,731980,2466857,365449,134636,16383,130535,19960
"2013",6575228,611813,2574580,330447,133122,14093,119709,14705
"2014",5836861,557977,2275077,307825,128718,12199,117384,12755
"2015",5743213,502580,2184195,280311,204199,16191,125770,13367
"2016",5747830,468525,2160883,258382,202773,16199,121889,11852
"2017",5685217,450988,2184030,245791,211719,16058,94103,7769
"2018",5545543,385431,2167704,219200,195767,14205,93640,6714
"2019",5047624,348905,1933298,196496,181320,13037,88615,5996
"2020",3834248,213057,1443701,111151,149651,9280,67670,3486



"Publisher:", "Federal Bureau of Investigation"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
